Restaurant / Food Spot,Area,Cuisine / Type,Price Range per Person (₱),Best For,Specialty / Must Try,Location / Link,Destination,Latitude,Longitude
Good Taste Restaurant,"Near Burnham Park / Otek St, Baguio","Filipino-Chinese, budget rice meals",100-200,"Hearty budget meals, large portions, early breakfast or late-night eats","Buttered chicken, chopsuey, fried rice platters",https://tarasamaka709472055.wordpress.com/2017/12/17/where-to-eat-in-baguio/,Baguio,16.4117,120.5975
Canto Bogchi Joint (Kisad Rd),"Across Burnham Park, Kisad Rd, Baguio","Casual dining, American-Filipino comfort food",250-450,"Lunch or dinner after sightseeing, groups","Lomo baby back ribs, burgers, pizzas",https://primer.com.ph/food/location/philippines/baguio-northern-luzon/canto-bogchi-joint/,Baguio,16.4068,120.5925
Cafe by the Ruins DUA,"Upper Session Rd area, Baguio",Filipino and fusion café-restaurant,300-500,"Brunch, slow lunch, cozy dinner","Baguio bagnet, longganisa breakfasts, kamote bread, local coffee",https://tarasamaka709472055.wordpress.com/2017/12/17/where-to-eat-in-baguio/,Baguio,16.412983,120.591753
Farmer's Daughter Restaurant,"Beside Tam-Awan Village, Long Long Rd, Baguio",Cordilleran / Igorot home-style dishes,300-500,Authentic local food after visiting Tam-Awan,"Pinuneg (blood sausage), pinikpikan, etag, smoked meats",https://diytrip.travel.blog/2016/08/18/farmers-daughter-restaurant/,Baguio,16.43007,120.57668
Arca's Yard Cafe,"Tiptop, Ambuklao Rd, boundary of Baguio / La Trinidad","Cafe, comfort food, desserts",200-400,"Afternoon coffee, mountain views, light meals","Kamote pie with ice cream, Benguet coffee, local comfort dishes",https://www.youtube.com/watch?v=e4hxOf5xPHc,Baguio,16.4150,120.5600
Baguio Night Market Food Stalls,Harrison Rd beside Burnham Park,"Street food, snacks, cheap eats",100-300,Late-night street food crawl and ukay-ukay shopping,"Strawberry taho, grilled meats, balut, fish balls, local snacks",https://philippinetravels.ph/baguio-night-market/,Baguio,16.4105,120.5958
El Union Coffee,"The Great Northwest Travel Stop, Urbiztondo, San Juan",Specialty coffee and light bites,200-400,"Morning coffee, merienda, post-surf chill","Dirty horchata, cold brew, grilled cheese, smores",https://www.pepper.ph/el-union-coffee-la-union/,La Union,16.6584642,120.321446
Makai Bowls,"The Great Northwest Travel Stop, Urbiztondo, San Juan","Smoothie bowls, healthy snacks",200-300,Light breakfast or post-surf snack,"Acai-style smoothie bowls, dairy-free fruit smoothies",https://wanderlog.com/place/details/2265469/makai-bowls,La Union,16.6584642,120.321446
Tagpuan sa San Juan,"Urbiztondo Rd, near beach area, San Juan","Filipino rice bowls, tapsilog, comfort food",100-200,Quick budget meals any time of day,"Chicken adobo bowl, surf town pares, bagnet and tapa rice bowls",https://thegame-onemega.com/lifestyle/3-reasons-why-tagpuan-should-be-every-la-union-surfers-go-to-restaurant/,La Union,16.6586,120.3220
Clean Beach Coffee,"134 MacArthur Highway, Urbiztondo, San Juan","Cafe, coffee and light eats",150-350,"Afternoon coffee, remote work with beach view","Specialty coffee, brunch plates, pastries",https://www.gmanetwork.com/entertainment/showbiznews/coffee-havens-in-elyu/52509/,La Union,16.6584642,120.321446
Kabsat La Union,"Beachfront along MacArthur Highway, Urbiztondo, San Juan","Filipino and bar chow, beachfront resto-bar",300-600,"Sunset dinners, drinks with a view","Seafood plates, nachos, cocktails, halo-halo",https://kbhmedina.wordpress.com/2022/08/08/la-union-food-crawl/,La Union,16.6587,120.3225
