Attraction,Category,Entrance Fee (₱),Best Time,Suggested Duration,Highlights,Address,Google Maps / Website,Transportation Notes,Destination,Latitude,Longitude
Urbiztondo Beach,Beach / Surfing,Free,October-March (North Swell Season),2-4 hours,"Surfing, swimming, sunset watching. Beginner-friendly waves. Main beach area.","Urbiztondo, San Juan, La Union",https://www.surfline.com/surf-report/san-juan-la-union,Walk from accommodations in Urbiztondo area,La Union,16.6720,120.3628
Tangadan Falls,Waterfalls / Nature,₱30 + ₱500 guide fee (max 5 pax),"Year-round, avoid heavy rain",3 hours (1hr trek + swim),Three-layer waterfall with swimming pools. 40ft high first layer. Crystal-clear water. Cliff jumping spots.,"San Juan, La Union",https://danielsecotravels.com/la-union-tourist-spot,Hire guide at entrance. Wear proper shoes. Bring waterproof bag.,La Union,16.6850,120.3450
Ma Cho Temple,Cultural / Religious,Free,Morning 7AM-12PM best,30-45 min,"Chinese Taoist temple dedicated to Matzu. Sea-facing. Buddha statues, mango trees. Photo-friendly.","San Fernando, La Union",https://danielsecotravels.com/la-union-tourist-spot,Along the highway. Easy access by car.,La Union,16.6167,120.3167
Monaliza Point,Surfing / Beach,Free beach access,October-March,2-3 hours,Intermediate surfer spot. Right point waves. Less crowded than Urbiztondo.,"North of Urbiztondo, San Juan",https://www.surfline.com/surf-report/san-juan-la-union,Short drive from Urbiztondo. For more advanced surfers.,La Union,16.6800,120.3600
Mines View Park,Viewpoint / Souvenir Shopping,"₱10 adults, ₱5 children",Early morning or late afternoon for clearer views,1-2 hours,"Panoramic view of Cordillera Mountains and mining sites. Souvenir shops, Ifugao costume photo (extra fee).","Gibraltar Road, Baguio",https://thebaguiochannel.com/mines-view-park-baguio,Jeepney 'Mines View' from Session Road ₱13.75. Taxi ₱100-150.,Baguio,16.4000,120.6000
Good Shepherd Convent,Cultural / Shopping,Free entrance,Morning 8AM-11AM for freshest products,30-45 min,"Famous ube jam (₱450-599), strawberry jam, peanut brittle (₱220). Fresh baked goods.","Gibraltar Road, near Mines View Park",https://www.tripadvisor.com/good-shepherd-convent,Walk from Mines View Park (5 min). Products have 1-month shelf life.,Baguio,16.4005,120.6002
Burnham Park,Park / Recreation,Free (boat rental ₱100 extra),Morning or late afternoon,1-2 hours,"32.84 hectares urban park. Artificial lake with boat rentals. Walking trails, picnic areas, flower gardens.","Jose Abad Santos Dr, Downtown Baguio",https://www.trip.com/burnham-park,Central location. Walk from Session Road. Open 24/7.,Baguio,16.4100,120.6000
Session Road,Shopping / Dining,Free,Evening for street vibe,1-2 hours,"Main commercial street. 1.7km. Shops, restaurants, street food. Cool evening atmosphere.","Session Road, Baguio City",https://en.wikipedia.org/wiki/Session_Road,Heart of Baguio. Most jeepneys pass here.,Baguio,16.4132,120.5966
Camp John Hay,Recreation / Nature / History,"Free entry. Historical Core ₱85 standard, ₱55 locals, ₱36 senior/student","Morning for hiking, afternoon for leisure",2-4 hours,"Former US military base. Pine forest trails (Eco Trail FREE), Historical Core, Butterfly Sanctuary (₱70). Tree Top Adventure activities (₱150-900).","Loakan Road, Baguio",https://baguiocityguide.com/camp-john-hay,Jeepney 'Scout Barrio' ₱10 from Session Road. Taxi ₱100-200.,Baguio,16.3989,120.6095
Wright Park,Park / Recreation,Free (horseback riding ₱200-300),Morning or afternoon,1-1.5 hours,Wooded park with Pool of Pines. Horseback riding services by Ibaloi pony boys. Across from The Mansion.,"CP Romulo Drive, Baguio",https://www.morefunwithjuan.com/wright-park-baguio,Jeepney 'Mines View' route. Near The Mansion.,Baguio,16.4153,120.6185
The Mansion,Historical / Cultural,Free (photo taking only),Morning 9AM-12PM,20-30 min,Official summer residence of Philippine President. Built 1908. American colonial architecture. Photo ops at gates.,"CP Romulo Drive, across Wright Park",https://guidetothephilippines.ph/the-mansion,Across from Wright Park. Photos from outside only.,Baguio,16.4155,120.6187
La Trinidad Strawberry Farm,Farm / Agriculture,Free entrance (₱50 parking). Strawberry picking ₱450-800/kg,November-May (peak March-April),2-3 hours,Pick fresh strawberries. Strawberry products sold. Muddy paths - boots provided. Strawberry taho ₱50.,"La Trinidad, Benguet (30 min from Baguio)",https://philippinetravels.ph/baguio-strawberry-farm,Jeepney 'La Trinidad' from Session Road ₱20. Taxi ₱200. Open 7AM-5PM (arrive before 4PM).,Baguio,16.4600,120.5900
Bell Church (Taoist Temple),Cultural / Religious,Free,Morning 7AM-10AM or afternoon 2PM-4PM,45 min - 1 hour,"Chinese Taoist temple. Pagodas, dragons, koi pond, wishing well. NO photos inside temple. Panoramic mountain views.",Baguio-La Trinidad boundary,https://guidetothephilippines.ph/bell-church,Jeepney to La Trinidad. Ask driver. Opens 6AM-5PM.,Baguio,16.4200,120.6000
BenCab Museum,Art / Culture,"₱200 general, ₱150 senior/PWD, ₱120 student",Tuesday-Sunday 9AM-6PM (closed Monday),1.5-2 hours,"Art museum by National Artist BenCab. Philippine contemporary art, Cordillera artifacts. Eco-trail available.","Km 6 Asin Road, Tuba, Benguet",https://bencabmuseum.org,15-30 min from Baguio. Taxi ₱80-100. Last entry 5:30PM.,Baguio,16.3800,120.5800
Baguio Night Market,Shopping / Thrift,Free entrance,9PM-2AM (peak 10PM-12AM),2-3 hours,"Ukay-ukay thrift shopping. Jackets, vintage clothes, streetwear. Very cheap prices. Street food vendors.","Harrison Road, Baguio",https://www.klook.com/ukay-spots-baguio,Near Burnham Park. Walk from Session Road 10 min.,Baguio,16.4115,120.5970
Bayanihan Shopping Center,Shopping / Thrift,Free entrance,Daytime 9AM-6PM,1-2 hours,Daytime ukay-ukay alternative to night market. Former hotel building. Commonwealth-era structure.,"Shanum Street, Baguio",https://www.klook.com/ukay-spots-baguio,Near Session Road area. Multiple ukay stalls.,Baguio,16.4125,120.5945
