Attraction,Category,Entrance Fee (₱),Best Time,Suggested Duration,Highlights,Address,Google Maps / Website,Transportation Notes,Destination,Latitude,Longitude
Burnham Park,City park,0,Early morning or late afternoon; open 24/7,2-3 hours,"Central lake, boat and bike rentals, gardens, playgrounds, jogging paths","Jose Abad Santos Dr, Burnham Park, Baguio, Benguet, Philippines",https://tl.wikipedia.org/wiki/Liwasang_Burnham,Central location; most Baguio jeepney and taxi routes pass nearby; paid street parking around park,Baguio,16.40933,120.59519
Baguio Night Market (Harrison Road),Night market / street food / thrift shopping,0,"22:00-01:00 (opens 21:00, closes ~02:00)",2-3 hours,"Ukay-ukay thrift stalls, street food, strawberry taho, local souvenirs","Harrison Rd, near Burnham Park, Baguio, Benguet, Philippines",https://philippinetravels.ph/baguio-night-market/,Short walk from Session Road or Burnham Park; limited roadside parking at night,Baguio,16.4105,120.5958
Mines View Park,View deck / park,10,Morning before 10:00 to avoid fog and crowds,1-1.5 hours,"Cordillera mountain and mining views, souvenir and snack stalls, photo spots","Outlook Dr, Mines View, Baguio, Benguet, Philippines",http://www.cityofpines.com/minesviewpark.html,Taxi or jeepney from city center; roadside parking near entrance,Baguio,16.41969,120.62737
Good Shepherd Convent (Pasalubong Center),Pasalubong shop / viewpoint,0,09:30-11:00 or 14:00-16:00 (within 09:30-16:00 opening),45-60 minutes,"Famous ube and strawberry jam, peanut brittle, vista decks overlooking Baguio","CJCG+P69, Gibraltar Rd, Baguio, Benguet, Philippines",https://www.tripadvisor.com/Attraction_Review-g298445-d2038170-Reviews-Good_Shepherd_Convent-Baguio.html,Short taxi or jeepney ride from Session Road or Mines View area; limited on-site parking,Baguio,16.4200,120.6265
Baguio Botanical Garden,Garden / park,10,Morning 08:00-11:00 or late afternoon,1-1.5 hours,"Landscaped gardens, Cordilleran huts, photo spots, cool shaded walking paths","37 Leonard Wood Rd, Baguio, Benguet, Philippines",https://baguio.gov.ph/visitors/baguio-botanical-garden,Along Leonard Wood Road; reachable by taxi/jeepney; some roadside parking,Baguio,16.394786,120.613248
Wright Park & The Mansion View Deck,Park / landmark,0,Morning or late afternoon; weekends can be busy,1-1.5 hours,"Pine tree-lined reflecting pool, view of The Mansion, nearby horseback riding area","Romulo Dr, Baguio, Benguet, Philippines",https://baguio.gov.ph/visitors/wright-park,Taxi/jeepney from city center; paid parking near riding circle,Baguio,16.4125,120.6225
Tam-Awan Village,Cultural village / art space,50,Morning 09:00-11:00 or mid-afternoon,1.5-2 hours,"Recreated Cordilleran huts, art galleries, view decks, cultural performances (select days)","364 Long Long Rd, Pinsao Proper, Baguio, Benguet, Philippines",https://www.mypacer.com/parks/201008/tam-awan-village-baguio,Steep road; best by taxi or private car; limited on-site parking,Baguio,16.43007,120.57668
La Trinidad Strawberry Farm,Farm experience,0 (pay per kilo for picking),Morning 08:00-11:00 during peak season (Dec–Mar),1.5-2 hours,"Strawberry-picking experience, photo spots, local market stalls for jams and souvenirs","Km 5, Baguio-La Trinidad-Bontoc Rd, Betag, La Trinidad, Benguet, Philippines",https://elevation.maplogs.com/poi/strawberry_farm_la_trinidad_benguet_philippines.568255.html,Drive or jeepney from Baguio to La Trinidad; paid parking near farm entrance,Baguio,16.457996,120.586619
BenCab Museum,Art museum,200,10:00-15:00 (closed Mondays),1.5-2 hours,"Works of National Artist Benedicto Cabrera, contemporary Philippine art, garden and eco-trail","Km 6 Asin Rd, Tadiangan, Tuba, Benguet, Philippines",http://www.bencabmuseum.org,15–20 min drive from Baguio CBD along Asin Road; museum parking available,Baguio,16.4107,120.5504
Camp John Hay,Leisure estate / nature park,0 (fees apply for specific activities),Daytime 09:00-17:00,2-3 hours,"Pine forests, trails, cafés, shopping, historical core, golf course surroundings","Camp John Hay, Baguio, Benguet, Philippines",https://www.tageo.com/index-e-rp-v-10-d-m3337658.htm,Short drive from city center; internal parking areas inside estate,Baguio,16.3973,120.61626
Mirador Heritage and Eco-Spirituality Park & Our Lady of Lourdes Grotto,Viewpoint / pilgrimage site,"100 (Mirador Park, Lourdes Grotto steps are free)",Early morning or late afternoon for views and cooler temps,2-3 hours (including climb and photo stops),"Torii gate, bamboo grove, peace memorials, city views, Lourdes Grotto shrine and 252 steps","15 St Theresa Ext. & Dominican Hill Rd, Mirador Hill, Baguio, Benguet, Philippines",https://mytourguide.ph/baguio/mirador-heritage-and-eco-park/,Steep access roads; best via taxi or private car; limited hilltop parking,Baguio,16.4100,120.5830
Urbiztondo Beach (San Juan Surfing Area),Beach / surf spot,0,Sunrise and late afternoon; surf season Jul–Mar,Half to full day,"Surfing, beach cafés and bars, sunset views, long sandy shoreline","Urbiztondo, San Juan, La Union, Philippines",https://www.surf-forecast.com/breaks/Urbiztondo-Beach,Right along MacArthur Highway; most San Juan accommodations within walking distance,La Union,16.6584642,120.321446
Tangadan Falls,Waterfall / nature hike,50 (tourist pass) + 700 guide fee per group,Morning 08:00-11:00; avoid heavy rain days,4-5 hours round trip from San Juan,"Multi-tiered falls, cliff jumping spots, natural pools, short but scenic hike","San Gabriel Municipal Tourism Office jump-off, then trail to Tangadan Falls, La Union, Philippines",https://www.tripadvisor.ca/Attraction_Review-g9798037-d9792156-Reviews-Tangadan_Falls.html,"Drive from San Juan to San Gabriel municipal hall; register and hire guide; steep roads, parking at jump-off",La Union,16.6690,120.4123
